Record_ID,Venue_ID,Venue_Name,Venue_Category,Subcategory,Latitude,Longitude,Street_Address,Neighborhood,Ward,Zip_Code,Distance_to_Metro,Nearest_Metro_Station,Metro_Line,Date,Day_of_Week,Month,Year,Is_Weekend,Is_Holiday,Season,Tourist_Season,Has_Braille_Signage,Has_Large_Print_Materials,Has_Audio_Tour,Has_Tactile_Maps,Guide_Dog_Friendly,Wheelchair_Accessible_Entrance,Has_Elevator,Wheelchair_Accessible_Restrooms,Daily_Rate,Occupancy_Rate,Accessibility_Room_Available,Accessibility_Rating,Overall_Rating,Last_Verified_Date,Verified_By
HOTEL_WATERGATE_2022-01-01,HOTEL_WATERGATE,The Watergate Hotel,Hotel,Luxury,38.8973,-77.0566,,Foggy Bottom,2,20037,0.11,Metro_Center,Red,2022-01-01,Saturday,January,2022,true,false,Winter,Low,false,false,false,false,true,true,true,true,280,50.6,true,61,4.4,2022-01-01,Staff_Report
HOTEL_WATERGATE_2022-01-02,HOTEL_WATERGATE,The Watergate Hotel,Hotel,Luxury,38.8973,-77.0566,,Foggy Bottom,2,20037,0.28,Metro_Center,Red,2022-01-02,Sunday,January,2022,true,false,Winter,Low,false,false,false,false,true,true,true,true,280,54.0,false,66,4.5,,
HOTEL_WATERGATE_2022-01-03,HOTEL_WATERGATE,The Watergate Hotel,Hotel,Luxury,38.8973,-77.0566,,Foggy Bottom,2,20037,0.24,Metro_Center,Red,2022-01-03,Monday,January,2022,false,false,Winter,Low,false,false,false,false,true,true,true,true,280,55.6,false,60,4.4,,
HOTEL_WATERGATE_2022-01-04,HOTEL_WATERGATE,The Watergate Hotel,Hotel,Luxury,38.8973,-77.0566,,Foggy Bottom,2,20037,0.25,Metro_Center,Red,2022-01-04,Tuesday,January,2022,false,false,Winter,Low,false,false,false,false,true,true,true,true,280,53.1,false,63,4.4,,
HOTEL_WATERGATE_2022-01-05,HOTEL_WATERGATE,The Watergate Hotel,Hotel,Luxury,38.8973,-77.0566,,Foggy Bottom,2,20037,0.86,Metro_Center,Red,2022-01-05,Wednesday,January,2022,false,false,Winter,Low,false,false,false,false,true,true,true,true,280,57.2,false,62,4.4,,
HOTEL_WATERGATE_2022-01-06,HOTEL_WATERGATE,The Watergate Hotel,Hotel,Luxury,38.8973,-77.0566,,Foggy Bottom,2,20037,0.22,Metro_Center,Red,2022-01-06,Thursday,January,2022,false,false,Winter,Low,false,false,false,false,true,true,true,true,280,60.7,false,64,4.5,,
HOTEL_WATERGATE_2022-01-07,HOTEL_WATERGATE,The Watergate Hotel,Hotel,Luxury,38.8973,-77.0566,,Foggy Bottom,2,20037,0.38,Metro_Center,Red,2022-01-07,Friday,January,2022,false,false,Winter,Low,false,false,false,false,true,true,true,true,280,62.6,false,63,4.4,,
HOTEL_WATERGATE_2022-01-08,HOTEL_WATERGATE,The Watergate Hotel,Hotel,Luxury,38.8973,-77.0566,,Foggy Bottom,2,20037,1.86,Metro_Center,Red,2022-01-08,Saturday,January,2022,true,false,Winter,Low,false,false,false,false,true,true,true,true,280,50.9,true,62,4.4,,
HOTEL_WATERGATE_2022-01-09,HOTEL_WATERGATE,The Watergate Hotel,Hotel,Luxury,38.8973,-77.0566,,Foggy Bottom,2,20037,0.25,Metro_Center,Red,2022-01-09,Sunday,January,2022,true,false,Winter,Low,false,false,false,false,true,true,true,true,280,67.3,false,65,4.5,,
HOTEL_WATERGATE_2022-01-10,HOTEL_WATERGATE,The Watergate Hotel,Hotel,Luxury,38.8973,-77.0566,,Foggy Bottom,2,20037,0.84,Metro_Center,Red,2022-01-10,Monday,January,2022,false,false,Winter,Low,false,false,false,false,true,true,true,true,280,57.4,true,62,4.4,,
HOTEL_WATERGATE_2022-01-11,HOTEL_WATERGATE,The Watergate Hotel,Hotel,Luxury,38.8973,-77.0566,,Foggy Bottom,2,20037,0.58,Metro_Center,Red,2022-01-11,Tuesday,January,2022,false,false,Winter,Low,false,false,false,false,true,true,true,true,280,51.4,false,66,4.5,,
HOTEL_WATERGATE_2022-01-12,HOTEL_WATERGATE,The Watergate Hotel,Hotel,Luxury,38.8973,-77.0566,,Foggy Bottom,2,20037,0.19,Metro_Center,Red,2022-01-12,Wednesday,January,2022,false,false,Winter,Low,false,false,false,false,true,true,true,true,280,57.6,false,68,4.5,,
HOTEL_WATERGATE_2022-01-13,HOTEL_WATERGATE,The Watergate Hotel,Hotel,Luxury,38.8973,-77.0566,,Foggy Bottom,2,20037,0.11,Metro_Center,Red,2022-01-13,Thursday,January,2022,false,false,Winter,Low,false,false,false,false,true,true,true,true,280,56.5,false,58,4.4,,
HOTEL_WATERGATE_2022-01-14,HOTEL_WATERGATE,The Watergate Hotel,Hotel,Luxury,38.8973,-77.0566,,Foggy Bottom,2,20037,1.57,Metro_Center,Red,2022-01-14,Friday,January,2022,false,false,Winter,Low,false,false,false,false,true,true,true,true,280,56.3,true,61,4.4,,
